Transaction_ID,Production_ID,QR_Code_URL,Traceability_Level,Verification_Time,Blockchain_Hash,Node_Confirmed
TX-00001,P00001,https://agrismart.vn/trace/P00001,Standard - Farm to Market,2025-06-20 11:00:00,0xce49970c5f2bcc236b1d95307c5348f8c2695803,15
TX-00002,P00002,https://agrismart.vn/trace/P00002,Standard - Farm to Market,2025-06-20 16:00:00,0xa85a6d9df66ca8dbb3787e23ed52404d39568163,22
TX-00003,P00003,https://agrismart.vn/trace/P00003,Standard - Farm to Market,2025-11-25 16:00:00,0x200f1e5c2d50e751dfb9332d3b85a8b148da2569,22
TX-00005,P00005,https://agrismart.vn/trace/P00005,Full - Seed to Table,2025-08-25 13:00:00,0x9c502e46b101f54d9e693782c7933b912010cbdb,17
TX-00006,P00006,https://agrismart.vn/trace/P00006,Full - Seed to Table,2025-07-01 11:00:00,0x6fa02e4f30f0abcc826046c9d0769586598fbd9a,22
TX-00007,P00007,https://agrismart.vn/trace/P00007,Standard - Farm to Market,2025-08-24 08:00:00,0x16eeb2d51d311066b376c03b2023d7ab11e3a63f,20
TX-00008,P00008,https://agrismart.vn/trace/P00008,Full - Seed to Table,2025-09-09 12:00:00,0x865b26e58a3f367c53363d445723c1bc7d18aff3,21
TX-00009,P00009,https://agrismart.vn/trace/P00009,Full - Seed to Table,2025-12-06 12:00:00,0x84de46f46fc7d1870731851d4e18d4e2f74448a8,22
TX-00010,P00010,https://agrismart.vn/trace/P00010,Standard - Farm to Market,2025-10-01 08:00:00,0x7e4d7fa204b57d38094da07b87ce6e28791ece5b,12
TX-00011,P00011,https://agrismart.vn/trace/P00011,Full - Seed to Table,2025-11-24 15:00:00,0x4558985fecd44228dadfa92e4c48745a082bfca9,15
TX-00012,P00012,https://agrismart.vn/trace/P00012,Full - Seed to Table,2025-11-05 10:00:00,0x2d1dad8325e43040368123904dfe6c8007ba368e,22
TX-00013,P00013,https://agrismart.vn/trace/P00013,Standard - Farm to Market,2025-08-22 09:00:00,0x0a47429b0f8babc80dc11cf16e1dc7e3feed103d,12
TX-00015,P00015,https://agrismart.vn/trace/P00015,Full - Seed to Table,2025-01-22 09:00:00,0x863b6552d282885e320481fb6603f80ff1ef388b,21
TX-00016,P00016,https://agrismart.vn/trace/P00016,Standard - Farm to Market,2025-11-19 11:00:00,0x88d0b4ebb2b67686442b270dbc4f05b7b8aca12c,15
TX-00017,P00017,https://agrismart.vn/trace/P00017,Full - Seed to Table,2025-11-26 13:00:00,0x1b8e2d07dae37cb244dee7a4d96748270904f78c,15
TX-00018,P00018,https://agrismart.vn/trace/P00018,Standard - Farm to Market,2025-10-19 09:00:00,0x5d66411e59ebaa40c65d36163bd135c9d42a4ff4,13
TX-00019,P00019,https://agrismart.vn/trace/P00019,Standard - Farm to Market,2025-01-27 13:00:00,0x44c2ae5049cbe821ed5d4497d8f3a535a1a78539,22
TX-00020,P00020,https://agrismart.vn/trace/P00020,Standard - Farm to Market,2025-05-23 12:00:00,0xf9a82a9d9d451763475395d869d9c79e429144d2,17
TX-00021,P00021,https://agrismart.vn/trace/P00021,Full - Seed to Table,2025-02-04 08:00:00,0x759b39351b02d54d3ea542239c2bbcaf8fa6f0b9,15
TX-00022,P00022,https://agrismart.vn/trace/P00022,Standard - Farm to Market,2025-07-12 14:00:00,0x79566852d4bec0f88fa912584e3edbe2a11d0a56,21
TX-00023,P00023,https://agrismart.vn/trace/P00023,Full - Seed to Table,2025-05-02 11:00:00,0x990afd5021086b81d43a329b8ade6a219c6d4241,14
TX-00026,P00026,https://agrismart.vn/trace/P00026,Standard - Farm to Market,2025-11-17 16:00:00,0x3756f125639639e4e6b2a455d0dbd710961aa92a,21
TX-00028,P00028,https://agrismart.vn/trace/P00028,Standard - Farm to Market,2025-03-07 09:00:00,0xcbbde58b99c86173f1e857b14fbf3c11f1972b7b,22
TX-00029,P00029,https://agrismart.vn/trace/P00029,Full - Seed to Table,2025-12-01 11:00:00,0xc600af78af92de1ddba2883033e2ff93a97d9a7f,15
TX-00030,P00030,https://agrismart.vn/trace/P00030,Full - Seed to Table,2025-11-03 08:00:00,0xf4ac6eed77d1eb1918a221461bf609f62fb3bfae,21
TX-00031,P00031,https://agrismart.vn/trace/P00031,Standard - Farm to Market,2025-01-04 13:00:00,0x2981a7c4e2530fc00fa2f298aa2c5a5956ac2fb0,13
TX-00033,P00033,https://agrismart.vn/trace/P00033,Full - Seed to Table,2025-11-01 15:00:00,0x9de62442551f4ae0f7aefd80da34f3bc02dbccc8,23
TX-00034,P00034,https://agrismart.vn/trace/P00034,Full - Seed to Table,2025-01-03 14:00:00,0x44ea1cfb12d0bec3f81e228fae15e034be704fba,21
TX-00035,P00035,https://agrismart.vn/trace/P00035,Standard - Farm to Market,2025-11-26 16:00:00,0xba212347cbb3fdb5a655d88170406102f88e6a82,22
TX-00036,P00036,https://agrismart.vn/trace/P00036,Standard - Farm to Market,2025-01-19 13:00:00,0x87127ed5ec40addfe0e6897aa384f91f98db68b7,21
TX-00037,P00037,https://agrismart.vn/trace/P00037,Standard - Farm to Market,2025-12-06 09:00:00,0x71564f074cba1df16bcfd10d475ab975e9f77606,12
TX-00038,P00038,https://agrismart.vn/trace/P00038,Standard - Farm to Market,2025-01-12 10:00:00,0x2bd64dfe3fb7b9f95bb6d4b3b4ebf91f79d7dc12,15
TX-00040,P00040,https://agrismart.vn/trace/P00040,Standard - Farm to Market,2025-01-17 16:00:00,0x7de6f4ea1b42c34fd94ae2aa4ade8f2f2e789515,24
TX-00041,P00041,https://agrismart.vn/trace/P00041,Standard - Farm to Market,2025-09-03 09:00:00,0x25743f3d3b244354ad4be6e5f5e0243b75d98865,23
TX-00042,P00042,https://agrismart.vn/trace/P00042,Standard - Farm to Market,2025-07-25 08:00:00,0x9bfed0c1921b884749c4ff3d65c5c90d3fc67c43,18
TX-00043,P00043,https://agrismart.vn/trace/P00043,Standard - Farm to Market,2025-01-21 16:00:00,0xfd31f7d1b793f01872a0d9d1cf8e719a2e7d1196,15
TX-00044,P00044,https://agrismart.vn/trace/P00044,Full - Seed to Table,2025-07-27 15:00:00,0xed82a817651081fb6778c1997c3cf4f076416d21,18
