Production_ID,Farm_ID,Farmer_ID,Date,Crop,Quantity_Ton,Unit_Price_VND,Revenue_VND,Cost_VND,Profit_VND,AI_Prediction_Accuracy,AI_Error_%,Disease_Risk,Weather_Risk,ESG_Score
P00001,FM038,F038,2025-06-20,Lúa,44.9,27673,1242517.7,782339,460178.69999999995,98,3.7,Medium,Low,98
P00002,FM080,F080,2025-06-20,Lúa,42.2,27141,1145350.2000000002,663486,481864.2000000002,97,4.6,High,High,72
P00003,FM064,F064,2025-11-25,Cà phê,6.7,32244,216034.80000000002,140191,75843.80000000002,90,11.4,Low,Medium,98
P00004,FM034,F034,2025-03-27,Cà phê,49.1,28396,1394243.6,925352,468891.6000000001,93,8.4,Low,High,92
P00005,FM050,F050,2025-08-25,Sầu riêng,40.5,82438,3338739.0,1853268,1485471.0,96,5.6,High,Medium,87
P00006,FM051,F051,2025-07-01,Sầu riêng,21.6,54712,1181779.2000000002,532426,649353.2000000002,97,4.9,Low,High,83
P00007,FM097,F097,2025-08-24,Thanh long,31.6,42456,1341609.6,818118,523491.6000000001,95,6.4,Low,Medium,70
P00008,FM095,F095,2025-09-09,Xoài,27.8,22621,628863.8,392311,236552.80000000005,96,4.7,Medium,Low,92
P00009,FM067,F067,2025-12-06,Thanh long,24.3,53800,1307340.0,808926,498414.0,90,10.8,High,High,94
P00010,FM041,F041,2025-10-01,Sầu riêng,6.4,79032,505804.80000000005,312629,193175.80000000005,95,6.5,Medium,Medium,82
P00011,FM063,F063,2025-11-24,Lúa,30.9,23119,714377.1,489841,224536.09999999998,97,3.8,Medium,Medium,93
P00012,FM001,F001,2025-11-05,Lúa,18.3,76014,1391056.2,880013,511043.19999999995,92,8.2,Low,Low,97
P00013,FM095,F095,2025-08-22,Sầu riêng,46.4,50388,2338003.1999999997,1618826,719177.1999999997,96,5.5,High,High,87
P00014,FM021,F021,2025-11-19,Xoài,11.4,44210,503994.0,340377,163617.0,93,7.2,Medium,Medium,82
P00015,FM078,F078,2025-01-22,Sầu riêng,39.1,38264,1496122.4000000001,1019417,476705.40000000014,97,3.4,Low,Low,96
P00016,FM005,F005,2025-11-19,Lúa,32.4,73003,2365297.1999999997,1589885,775412.1999999997,98,3.5,Medium,Medium,83
P00017,FM070,F070,2025-11-26,Lúa,30.9,27102,837451.7999999999,579434,258017.79999999993,93,9.0,Medium,High,71
P00018,FM034,F034,2025-10-19,Xoài,36.8,82513,3036478.4,1877909,1158569.4,95,5.1,Low,Medium,85
P00019,FM078,F078,2025-01-27,Xoài,37.5,50698,1901175.0,1033393,867782.0,88,13.4,Medium,High,88
P00020,FM045,F045,2025-05-23,Cà phê,41.4,16588,686743.2,388885,297858.19999999995,95,6.0,High,Low,92
P00021,FM028,F028,2025-02-04,Xoài,8.3,33079,274555.7,187869,86686.70000000001,97,4.5,High,Medium,93
P00022,FM003,F003,2025-07-12,Cà phê,46.8,70420,3295656.0,1713783,1581873.0,91,9.2,High,Low,74
P00023,FM067,F067,2025-05-02,Lúa,4.0,33805,135220.0,85928,49292.0,91,9.5,High,Medium,79
P00024,FM091,F091,2025-03-01,Xoài,48.9,15959,780395.1,374467,405928.1,93,7.6,High,High,72
P00025,FM086,F086,2025-07-25,Xoài,31.6,20222,639015.2000000001,319636,319379.20000000007,96,4.5,Medium,High,83
P00026,FM065,F065,2025-11-17,Cà phê,27.6,72502,2001055.2000000002,1076637,924418.2000000002,94,8.0,Medium,Medium,96
P00027,FM053,F053,2025-09-09,Thanh long,8.2,46355,380110.99999999994,208478,171632.99999999994,90,10.8,High,Medium,86
P00028,FM041,F041,2025-03-07,Xoài,4.3,38293,164659.9,78490,86169.9,92,8.8,Low,High,79
P00029,FM069,F069,2025-12-01,Thanh long,16.4,29218,479175.19999999995,268250,210925.19999999995,95,6.3,Low,Medium,98
P00030,FM024,F024,2025-11-03,Lúa,46.4,70456,3269158.4,1721289,1547869.4,93,9.0,Medium,Low,72
P00031,FM055,F055,2025-01-04,Sầu riêng,15.0,37429,561435.0,287614,273821.0,95,5.6,Medium,Low,73
P00032,FM066,F066,2025-11-03,Cà phê,5.0,31715,158575.0,77146,81429.0,97,4.8,Low,Medium,70
P00033,FM076,F076,2025-11-01,Cà phê,46.4,39411,1828670.4,1178380,650290.3999999999,97,4.1,Low,High,91
P00034,FM013,F013,2025-01-03,Lúa,16.7,35039,585151.2999999999,383503,201648.29999999993,92,9.2,Medium,Low,73
P00035,FM034,F034,2025-11-26,Xoài,26.9,75336,2026538.4,968863,1057675.4,88,12.6,High,High,86
P00036,FM015,F015,2025-01-19,Cà phê,17.6,39375,693000.0,423513,269487.0,96,5.4,Medium,High,71
P00037,FM071,F071,2025-12-06,Sầu riêng,46.8,82369,3854869.1999999997,1859911,1994958.1999999997,95,5.3,Low,High,83
P00038,FM070,F070,2025-01-12,Cà phê,18.8,38948,732222.4,454819,277403.4,95,5.4,High,Medium,76
P00039,FM096,F096,2025-04-20,Xoài,23.2,59765,1386548.0,709613,676935.0,91,9.1,Medium,Low,81
P00040,FM065,F065,2025-01-17,Lúa,7.2,18228,131241.6,91676,39565.600000000006,93,8.7,Low,Medium,82
P00041,FM045,F045,2025-09-03,Lúa,15.6,73715,1149954.0,545898,604056.0,88,12.7,Low,Low,72
P00042,FM081,F081,2025-07-25,Xoài,48.6,60724,2951186.4,1910606,1040580.3999999999,90,10.7,Low,Low,90
P00043,FM005,F005,2025-01-21,Sầu riêng,39.7,22895,908931.5000000001,498057,410874.5000000001,94,7.4,Medium,Medium,72
P00044,FM033,F033,2025-07-27,Thanh long,42.6,10231,435840.60000000003,238083,197757.60000000003,95,5.1,High,Low,82
P00045,FM075,F075,2025-04-18,Lúa,35.3,71041,2507747.3,1676052,831695.2999999998,90,10.0,Low,High,80
P00046,FM030,F030,2025-09-07,Xoài,45.7,45855,2095573.5000000002,1358748,736825.5000000002,88,13.6,Low,High,71
P00047,FM042,F042,2025-03-12,Xoài,18.4,56786,1044862.3999999999,661958,382904.3999999999,88,14.0,Medium,High,83
P00048,FM034,F034,2025-06-24,Thanh long,32.6,24272,791267.2000000001,462635,328632.20000000007,93,7.1,Low,High,70
P00049,FM071,F071,2025-06-14,Sầu riêng,42.0,16112,676704.0,425495,251209.0,89,11.3,Medium,High,81
P00050,FM043,F043,2025-02-02,Sầu riêng,11.3,21757,245854.1,111530,134324.1,90,11.4,Low,Medium,87
